exp	scGCA	scGCN	Seurat	scmap	SingleR
bcp1_6000-bcp2_6000	0.926	0.885	0.915	0.57	0.919
bcp2_6000-bcp3_6000	0.931	0.826	0.832	0.59	0.879
bcp1_6000-pcp1_6000	0.873	0.866	0.871	0.744	0.868
bcp1_6000-mp1_6000	0.971	0.985	0.576	0.673	0.963
bcp2_6000-bcp1_6000	0.763	0.756	0.745	0.676	0.748
bcp3_6000-bcp1_6000	0.805	0.79	0.624	0.537	0.728
bcp3_6000-bcp2_6000	0.922	0.877	0.814	0.541	0.906
pcp1_6000-bcp1_6000	0.732	0.724	0.723	0.639	0.718
mp1_6000-bcp1_6000	0.952	0.759	0.949	0.567	0.688
bcp1_6000-bcp3_6000	0.891	0.885	0.823	0.645	0.877
pcp1_6000-mp1_6000	0.982	0.918	0.49	0.491	0.919
mp1_6000-pcp1_6000	0.871	0.86	0.82	0.267	0.52
